,id,lng,lat,max_vis,avg_daily_view,3cluster,height,closest_dist,closest_lat,closest_lng,id_list
0,26144,-8.473975,40.900768,69,31.0,0,239.2415771484375,456.39578813293286,40.899207,-8.477778,[19394]
1,11714,-9.315949,38.958125,69,31.0,1,235.52777099609384,306.3128795573831,38.956449,-9.318152,[11717]
2,26109,-8.510079,40.871821,69,32.0,0,242.46905517578116,86.36897287857242,40.871131,-8.509708,[26108]
3,32555,-8.479751,40.837695,69,32.0,0,199.5950164794922,22.173962848764802,40.837708,-8.47995,[26073]
4,5291,-8.42987,40.268692,69,32.0,0,54.8232421875,4.966075405383318,40.268714,-8.429831,[5292]
5,22437,-8.414758,41.045215,69,33.0,0,90.72244262695312,267.8461244410197,41.042794,-8.4145,[22469 22468]
6,46607,-8.749668,41.368876,86,34.0,0,21.46352958679199,0.33358525107692344,41.368876,-8.749665,[46606]
7,1818,-9.146613,38.6878,69,34.0,1,0.7486023902893066,13.858274709253573,38.687737,-9.146721,[1822]
8,30411,-8.655476,41.200398,69,34.0,0,70.15913391113281,2.8886012390708014,41.200373,-8.655484,[30412]
9,34634,-9.143221,38.710728,63,34.0,1,42.312583923339844,62.374245700875036,38.711172,-9.142871,[7491]
10,6735,-8.32592,41.501022,69,35.0,0,128.6184234619141,599.0438125485241,41.49901,-8.330926,[6538]
11,4660,-9.420993,38.702024,69,35.0,1,8.561958312988281,0.21939062466173986,38.702026,-9.420993,[4659]
12,29946,-7.332339,40.757814,145,35.0,0,748.0628051757812,197.1148060856416,40.758661,-7.3339,[30018]
13,26319,-9.216405,38.780154,69,35.0,1,91.22396850585938,2.3808078798257486,38.780164,-9.216424,[26317]
14,26317,-9.216424,38.780164,69,36.0,1,91.32691192626952,2.3808078799025267,38.780154,-9.216405,[26319]
15,20763,-7.914865,40.679457,69,36.0,0,479.4650268554688,0.5980202811417067,40.679455,-7.914860000000001,[20762]
16,29615,-7.760934,40.606569,145,36.0,0,530.6112060546875,1089.904283164099,40.596949,-7.75865,[29617]
17,31707,-8.673731,41.179162,69,36.0,0,39.92454147338867,0.3977507917177402,41.17915900000001,-8.673733,[31708]
18,1731,-9.201572,38.656493,69,37.0,1,89.57034301757812,43.624710706811335,38.656383,-9.201195,[1734]
19,27178,-9.322304,38.830235,69,37.0,1,162.6654815673828,203.83889887677554,38.831972,-9.322954,[27161]
20,5262,-8.441194,40.266904,69,37.0,0,19.61371040344238,0.21998102557235008,40.266906,-8.441194,[5263]
21,6825,-8.669985,37.091352,69,37.0,2,18.47451591491699,422.3315075625679,37.094568,-8.672063,[6828]
22,1052,-8.203688,39.462952,69,38.0,1,176.9561767578125,174.44059159531608,39.461614,-8.204528999999999,[1049]
23,20802,-7.888201,40.652584,69,38.0,0,501.189697265625,0.3512984263291369,40.652585,-7.888203999999999,[20803]
24,5433,-8.432738,40.214686,69,38.0,0,36.91704940795898,7.590012048023232,40.21468,-8.43267,[5431]
25,20762,-7.914860000000001,40.679455,69,39.0,0,479.4307861328125,0.598020281139653,40.679457,-7.914865,[20763]
26,1040,-8.213911,39.464467,69,39.0,1,126.5469436645508,57.419623824335424,39.464916,-8.214174,[1042]
27,22373,-8.466789,41.10225,69,39.0,0,50.67359924316406,983.546133840146,41.105893,-8.458711,[22337]
28,20803,-7.888203999999999,40.652585,69,39.0,0,501.1997680664062,0.3512984264144438,40.652584,-7.888201,[20802]
29,20632,-8.120486999999999,37.103874,69,40.0,2,20.36970710754395,0.15646720846358814,37.103875,-8.120486,[20633]
30,19395,-8.507750999999999,40.893957,78,41.0,0,243.4403991699219,393.8880026470323,40.89702800000001,-8.505927999999999,[49137]
31,22396,-8.401862,41.071821,69,41.0,0,42.52016067504883,118.39747484355921,41.070936,-8.401256,[22446 22447]
32,28431,-8.487928,41.067437,69,41.0,0,70.21180725097656,66.60043674850867,41.067282,-8.487349,[28678]
33,26689,-8.328021000000001,41.309635,69,42.0,0,360.2918701171875,35.772445448623024,41.309369,-8.328206,[26756]
34,6666,-8.316225,41.487706,69,42.0,0,159.7264709472656,5.047138474928733,41.4877,-8.316180000000001,[6667]
35,5274,-8.445205999999999,40.267352,69,43.0,0,24.2169132232666,3.196695978273991,40.267336,-8.445182,[5275]
36,49291,-9.204441,38.710662,71,43.0,1,116.54859161376949,12.416816621034947,38.710556,-9.20448,[49290]
37,29945,-7.354813,40.78343,145,44.0,0,840.7267456054688,3587.367063311224,40.758661,-7.3339,[30018]
38,5292,-8.429831,40.268714,69,44.0,0,54.88013458251953,4.966075405430085,40.268692,-8.42987,[5291]
39,20805,-7.88271,40.655335,69,44.0,0,504.9911499023438,0.3486408258445157,40.655332,-7.882711,[20804]
40,30412,-8.655484,41.200373,69,44.0,0,70.23770904541016,2.8886012390419844,41.200398,-8.655476,[30411]
41,26705,-8.381993,41.304893,69,45.0,0,322.5004577636719,1.6177260936836138,41.304897,-8.381979,[26704]
42,5180,-8.393765,40.246222,69,45.0,0,83.46491241455078,1345.7321388716114,40.240931,-8.404677000000001,[5298]
43,28435,-8.465077,41.059915,69,45.0,0,99.45329284667969,0.1563993629598483,41.059914,-8.465076,[28436]
44,22184,-8.630125999999999,40.99383,69,45.0,0,36.17089080810547,2.4211487488187107,40.993852,-8.630125,[22185]
45,49309,-8.563193,41.26295800000001,88,46.0,0,100.8615951538086,234.8168309739381,41.264633,-8.564503,[49310]
46,21613,-9.217723,38.758999,69,46.0,1,90.39000701904295,0.4581229387635786,38.759,-9.217727,[21612]
47,27644,-8.462147,41.007643,69,48.0,0,216.3593597412109,80.73419585285032,41.008311,-8.462448,[27562]
48,26642,-8.368324000000001,41.052162,69,48.0,0,32.64788436889648,47.84683605337746,41.052294,-8.368734,[26591]
49,1822,-9.146721,38.687737,69,48.0,1,0.9907891750335692,13.858274709205446,38.6878,-9.146613,[1818]
50,5222,-8.421954,40.180012,69,48.0,0,28.18979644775391,0.21999197560501554,40.180014,-8.421954,[5223]
51,22382,-8.454255999999999,41.071586,69,48.0,0,79.42057037353516,10.388411762878922,41.07157700000001,-8.454163000000001,[22386]
52,29880,-8.50182,40.514612,145,48.0,0,31.79684448242188,513.1804354858645,40.519246,-8.501277,[29637]
53,5233,-8.452552,40.281902,69,49.0,0,91.64788818359376,16.961191246033714,40.28193,-8.452402000000001,[5232]
54,29924,-7.825597,40.351855,145,49.0,0,572.3992309570312,3108.6080010560277,40.35070200000001,-7.85353,[29923]
55,26592,-8.364446000000001,41.050999,69,49.0,0,49.1263427734375,0.8088657437473001,41.050997,-8.364438999999999,[26593]
56,31474,-9.102085,38.609508,69,50.0,1,27.25995826721191,2.681386985576621,38.609518,-9.102107,[31476]
57,26074,-8.479952,40.837707,69,51.0,0,198.5478820800781,0.248098498820548,40.837708,-8.47995,[26073]
58,26591,-8.368734,41.052294,69,51.0,0,29.52729606628418,0.9488098323334944,41.052297,-8.368742,[26590]
59,26589,-8.24351,41.158512,69,51.0,0,264.42044067382807,1.0412295340445412,41.158504,-8.243514999999999,[26588]
60,31475,-9.102085,38.609508,69,51.0,1,27.25995826721191,2.681386985576621,38.609518,-9.102107,[31476]
61,22754,-8.400497,41.065089,69,51.0,0,29.15860557556152,0.8014859959292364,41.065082,-8.400495,[22753]
62,6285,-8.848600999999997,40.148077,69,51.0,0,3.267187356948853,46.96465786159132,40.147899,-8.848985,[6248]
63,1116,-7.966191999999999,37.021335,69,51.0,2,7.234175205230713,0.15649668716859824,37.021334,-7.966193,[1117]
64,20804,-7.882711,40.655332,69,52.0,0,504.9752197265625,0.34864082587730805,40.655335,-7.88271,[20805]
65,27655,-8.511581,40.929228,69,52.0,0,222.8454284667969,21.44002379224564,40.929312,-8.511407,[27657]
66,30414,-8.655557,41.200145,69,52.0,0,70.97483825683594,2.6149031221519303,41.200168,-8.655550999999999,[30413]
67,26718,-8.368138,41.309881,69,52.0,0,315.1690063476562,0.7700786519548173,41.309874,-8.368138,[26719]
68,19328,-8.488782,40.9142,69,53.0,0,267.9215698242188,182.08633197178108,40.912938,-8.489842,[19339]
69,3881,-9.398449,38.7411,69,53.0,1,129.62434387207028,42.57849664927983,38.741038,-9.398827,[3884]
70,26073,-8.47995,40.837708,69,54.0,0,198.5553741455078,0.24809849875725865,40.837707,-8.479952,[26074]
71,31709,-8.673699000000001,41.179156,69,55.0,0,39.98750305175781,0.6960249159659931,41.17915,-8.673701,[31710]
72,20800,-7.888644999999999,40.652648,69,56.0,0,502.1995849609375,49.525551287739326,40.652585,-7.888203999999999,[20803]
73,5435,-8.432857,40.214564,69,56.0,0,35.07521438598633,10.400430756960603,40.214497,-8.432922999999999,[5437 5438]
74,1830,-9.14703,38.687946,69,57.0,1,0.9528491497039796,0.2461135837774171,38.687948,-9.147031,[1831]
75,5431,-8.43267,40.21468,69,57.0,0,37.417579650878906,7.5900120482547235,40.214686,-8.432738,[5433 5434]
76,27643,-8.462147,41.007643,69,57.0,0,216.3593597412109,80.73419585285032,41.008311,-8.462448,[27562]
77,26704,-8.381979,41.304897,69,58.0,0,322.4372863769531,1.6177260935686055,41.304893,-8.381993,[26705]
78,27302,-9.386282,38.81623,69,59.0,1,125.9252777099609,785.8222858817087,38.815888,-9.393341,[27098]
79,5186,-8.485342,40.200828,69,59.0,0,32.44405746459961,0.2199558059263498,40.200826,-8.485342,[5187]
80,3167,-8.39134,41.557831,69,60.0,0,197.7078552246094,0.7861005113136338,41.55783,-8.391333,[3166]
81,6667,-8.316180000000001,41.4877,69,60.0,0,160.0488739013672,5.0471384750242425,41.487706,-8.316225,[6666]
82,30488,-8.655545,41.194273,69,60.0,0,83.74893951416016,14.844310231977124,41.194299,-8.655676,[30627]
83,11768,-9.324968,38.970462,69,60.0,1,219.3381652832031,2.1905505543989734,38.970477,-9.324981,[11767]
84,26756,-8.328206,41.309369,69,61.0,0,360.3056030273438,35.77244544858993,41.309635,-8.328021000000001,[26689]
85,358,-9.418276,38.700433,71,61.0,1,13.012633323669428,3.3419371108818208,38.700441,-9.418247,[359]
86,15652,-8.600192,41.150794,69,61.0,0,104.7136611938477,0.4536188565777594,41.150798,-8.600191,[15651]
87,13486,-9.229711,38.699057,69,62.0,1,5.763601303100586,37.266518850631094,38.699067,-9.230046000000002,[13187 13188]
88,28678,-8.487349,41.067282,69,62.0,0,75.93887329101562,66.60043674851809,41.067437,-8.487928,[28431]
89,29069,-8.570755,40.801057,69,63.0,0,33.499256134033196,696.4565186369209,40.807166,-8.572410000000001,[46235]
90,27303,-9.386282,38.81623,69,63.0,1,125.9252777099609,785.8222858817087,38.815888,-9.393341,[27098]
91,26588,-8.243514999999999,41.158504,69,63.0,0,264.43704223632807,1.0412295340757076,41.158512,-8.24351,[26589]
92,49256,-7.927036999999999,40.681019,88,63.0,0,467.9753112792969,400.3862933448723,40.6776,-7.9258130000000016,[20808]
93,27307,-9.311686,38.750786,69,64.0,1,163.7505950927734,1.0067535522542843,38.750785,-9.311695,[27306]
94,27110,-9.30143,38.871959,69,64.0,1,173.29193115234384,0.3511701345226846,38.871958,-9.301427,[27111]
95,30961,-8.749533999999999,41.369197,69,67.0,0,21.49277496337891,0.4581569525149197,41.369196,-8.749538000000001,[30962]
96,5264,-8.467779,40.211642,69,67.0,0,23.43434906005859,296.79177676130496,40.213429,-8.465779,[5118]
97,1054,-8.215,39.46493,69,67.0,1,124.63683319091801,91.86006155699728,39.464916,-8.214174,[1042]
98,15377,-8.59003,41.15550800000001,69,68.0,0,109.9495620727539,0.8895606699510706,41.15550800000001,-8.590038,[15376]
99,5437,-8.432922999999999,40.214497,69,68.0,0,34.11448287963867,9.080326072063288,40.214441,-8.432983,[5440]
100,45349,-7.234432000000001,40.562479,145,68.0,0,856.7210693359375,1183.52321859156,40.562829,-7.223794,[45348]
101,31003,-8.640985,41.216766,69,68.0,0,60.98266220092773,13.100543849083376,41.21678,-8.641102,[30512]
102,5439,-8.432983,40.21444,69,69.0,0,33.30157089233398,0.10999285051059172,40.214441,-8.432983,[5440]
103,31476,-9.102107,38.609518,69,69.0,1,27.29905891418457,2.681386985668269,38.609508,-9.102085,[31474 31475]
104,16890,-8.625532000000002,41.404789,69,70.0,0,51.16640090942383,0.6689311766547081,41.404783,-8.625531,[16891]
105,5298,-8.404677000000001,40.240931,69,71.0,0,138.34919738769528,0.3300026812982497,40.240928,-8.404677000000001,[5297]
106,27581,-8.524460000000001,40.890922,69,71.0,0,228.8838958740234,0.4447803347102877,40.890922,-8.524455999999999,[27582]
107,14821,-8.585979,41.14856500000001,69,72.0,0,69.68514251708984,1.7289714433918335,41.148555,-8.585991,[14819]
108,30413,-8.655550999999999,41.200168,69,72.0,0,70.8967514038086,2.614903122142142,41.200145,-8.655557,[30414]
109,27582,-8.524455999999999,40.890922,69,72.0,0,228.8963165283203,0.4447803347102877,40.890922,-8.524460000000001,[27581]
110,19836,-8.500351,41.193865,69,73.0,0,150.2215270996094,3.7950829507007535,41.193853,-8.500383,[19835]
111,3224,-8.39087,41.55743,69,73.0,0,208.7144317626953,1.1173789520904052,41.557431,-8.39086,[3225]
112,32278,-8.553756,41.145185,69,74.0,0,76.93997955322266,0.15638145511915047,41.145184,-8.553757000000001,[32277]
113,1036,-8.20932,39.463315,69,74.0,1,138.95429992675778,1.4621982031547045,39.463313,-8.209307,[1037]
114,31810,-8.646371,41.177177,69,74.0,0,75.48238372802734,3.2166742869944045,41.177196,-8.646393,[31808]
115,3230,-8.384129,41.553301,69,74.0,0,272.50448608398443,0.5538436999698833,41.553304,-8.384125,[3231]
116,17387,-8.854885000000003,38.537652,69,74.0,1,19.56844139099121,0.4581494487252089,38.537651,-8.854889,[17388]
117,32280,-8.553745,41.145172,69,75.0,0,76.99279022216797,0.11119508381019512,41.145172,-8.553746,[32279]
118,31127,-9.169949,38.669054,69,75.0,1,45.22763061523438,11.323915200889145,38.668954,-9.169924,[31198]
119,28082,-8.620286,41.319231,69,76.0,0,67.10224151611328,139.68989818256,41.320444,-8.62066,[28084]
120,1068,-8.425207,40.21063400000001,69,76.0,0,73.4378433227539,77.69725707489644,40.209933,-8.425293,[1058]
121,48971,-8.421371,40.918168,69,76.0,0,359.7317810058594,705.9780064425754,40.918161,-8.427719999999999,[26146]
122,26068,-8.508569999999999,40.878632,69,76.0,0,239.6004791259766,0.2464529217995016,40.87863400000001,-8.508571,[26067]
123,45346,-7.23424,40.51068,109,76.0,0,817.5714111328125,2680.5499150531477,40.533439,-7.242689,[6331]
124,30408,-8.655424,41.200556,69,77.0,0,69.67561340332031,0.4581635824499137,41.200557,-8.655428,[30407]
125,20715,-7.922996,40.659223,75,77.0,0,454.7998046875,3.2419052423955588,40.659194,-7.923000999999998,[20713 20714]
126,17395,-8.854523,38.537508,69,77.0,1,19.57544136047363,0.22239016762039024,38.537508,-8.854521,[17396]
127,22753,-8.400495,41.065082,69,77.0,0,29.16409301757812,0.8014859959155709,41.065089,-8.400497,[22754]
128,4817,-7.494074,39.822049,69,78.0,0,409.4656066894531,0.1565834331581722,39.822048,-7.494075,[4818]
129,3092,-8.426407000000001,41.552201,69,78.0,0,188.2772216796875,1.8768853872855449,41.552189,-8.426395,[3091]
130,26716,-8.377944,41.277851,69,78.0,0,300.5044555664062,4.020200171101248,41.27788,-8.377966,[26717]
131,20716,-7.922996,40.659223,75,78.0,0,454.7998046875,3.2419052423955588,40.659194,-7.923000999999998,[20713 20714]
132,1782,-9.218161,38.654252,69,78.0,1,51.7537727355957,0.7023565210912581,38.65425,-9.218167,[1783]
133,4871,-8.460542,40.1941,69,79.0,0,90.43000793457031,0.4537747579415096,40.194096,-8.460541000000001,[4870]
134,22614,-8.49616,41.088526,69,79.0,0,74.64794921875,0.4581746433983389,41.088525,-8.496156,[22613]
135,14669,-8.616909,40.863965,69,80.0,0,17.97342681884766,195.3327694222348,40.862193,-8.617037,[14654]
136,22415,-8.433464,41.066122,69,80.0,0,93.5333480834961,686.1140610488571,41.060045,-8.432072,[32289]
137,22435,-8.416426,41.036961,69,80.0,0,73.81285858154297,373.1900644819282,41.038188,-8.419555,[22426]
138,6311,-7.505252,40.13934,75,80.0,0,485.9905700683594,1.5658144100941789,40.13933,-7.505242,[6309 6310]
139,6312,-7.505252,40.13934,75,80.0,0,485.9905700683594,1.5658144100941789,40.13933,-7.505242,[6309 6310]
140,32259,-8.422885,41.072811,69,80.0,0,135.1941986083984,2.085098558149668,41.072819,-8.422868,[32260]
141,22613,-8.496156,41.088525,69,81.0,0,74.66386413574219,0.458174643330307,41.088526,-8.49616,[22614]
