,lat,lng,id_list
0,37.012431,-8.942488,[834]
1,37.012461,-7.932727000000001,[45958]
2,37.013506,-7.932639,[6152]
3,37.014358,-7.917086,[30021]
4,37.014409,-7.9170050000000005,[30022]
5,37.014632,-7.927014999999999,[6142]
6,37.014633,-7.927014,[6141]
7,37.014884,-7.9316059999999995,[5943]
8,37.015046999999996,-7.935371000000001,[6196]
9,37.015079,-7.934939,[6185]
10,37.015372,-7.9212869999999995,[22293]
11,37.015376,-7.9212929999999995,[873]
12,37.015446999999995,-7.9317779999999996,[5954]
13,37.015452,-7.931616,[6026]
14,37.015454999999996,-7.931617,[6025]
15,37.015576,-7.923251,[6156]
16,37.015576,-7.923249,[6155]
17,37.015613,-7.929703999999999,[5965]
18,37.015664,-7.915825999999999,[980]
19,37.015868,-7.92152,[6183]
20,37.01587,-7.921517999999999,[6184]
21,37.015926,-7.928546000000001,[1096]
22,37.016083,-7.92842,[6203]
23,37.016086,-7.935264999999999,[6193]
24,37.016147,-7.935078999999999,[932]
25,37.016178000000004,-7.928257,[6161]
26,37.016178000000004,-7.928256,[6160]
27,37.016245,-7.931249,[48504]
28,37.016286,-7.931157000000001,[48505]
29,37.016287,-7.931221000000001,[48503]
30,37.016589,-7.935138,[6190]
31,37.016625,-7.930516000000001,[48500]
32,37.016658,-7.930528999999999,[48501]
33,37.016658,-7.917097999999999,[6186]
34,37.016659000000004,-7.917099,[6187]
35,37.016688,-7.9301070000000005,[48495]
36,37.016702,-7.93055,[48502]
37,37.016733,-7.930124,[48496]
38,37.016751,-7.929684,[32183]
39,37.016783000000004,-7.929691,[32180]
40,37.016798,-7.930153,[48497]
41,37.0168,-7.929703,[32182]
42,37.016816999999996,-7.929719,[32181]
43,37.016843,-7.929935,[48506]
44,37.016853999999995,-7.929106,[6006]
45,37.01686,-7.936673,[6215 6214]
46,37.016867,-7.930045,[48499]
47,37.016872,-7.930086999999999,[48498]
48,37.01688,-7.929028999999999,[1102]
49,37.016921999999994,-7.928885,[6058]
50,37.016923,-7.928886,[6059]
51,37.016949,-7.928799000000001,[6070]
52,37.01695,-7.9288,[6069]
53,37.017143,-7.933899,[1088]
54,37.017187,-7.937028,[5931]
55,37.017188,-7.937032,[5932]
56,37.017238,-7.928499,[6157]
57,37.017239000000004,-7.9285,[6158]
58,37.017259,-7.922246,[6208]
59,37.017297,-7.937239,[1093]
60,37.017388000000004,-7.937852,[5941]
61,37.017388000000004,-7.937850999999999,[5942]
62,37.017441999999996,-7.928832000000001,[5976]
63,37.017472,-7.933771000000001,[6136]
64,37.017474,-7.933772,[6137]
65,37.017516,-7.926763,[6017]
66,37.017549,-7.927207000000001,[6027]
67,37.017691,-7.938167,[6200]
68,37.017701,-7.938556,[6199]
69,37.017776,-8.939982,[835]
70,37.017922999999996,-7.925161,[6038]
71,37.017979,-7.931816,[6164]
72,37.01798,-7.931817,[6163]
73,37.018021000000005,-7.92546,[6049]
74,37.018053,-7.918219000000001,[6189]
75,37.018053,-7.918216,[6188]
76,37.01808,-7.9318789999999995,[1101]
77,37.018167,-7.931706,[5933]
78,37.018390000000004,-7.939404,[6182]
