Region_of_Origin,"District_of_Origin	",County_of_Origin,total,65-69,70-74,75-79,80-84,85+,65+
R1 - AM Lisboa,Lisboa,Amadora," 184,106"," 11,186"," 10,936"," 8,780"," 6,460"," 5,890"," 43,252"
R1 - AM Lisboa,Lisboa,Cascais," 213,608"," 12,151"," 11,444"," 8,680"," 6,469"," 5,248"," 43,992"
R1 - AM Lisboa,Lisboa,Lisboa," 509,515"," 33,197"," 33,340"," 27,706"," 23,037"," 26,770"," 144,050"
R1 - AM Lisboa,Lisboa,Loures," 213,687"," 12,746"," 12,794"," 9,644"," 6,669"," 5,033"," 46,886"
R1 - AM Lisboa,Lisboa,Moita," 64,407"," 4,226"," 3,646"," 2,623"," 1,801"," 1,425"," 13,721"
R1 - AM Lisboa,Lisboa,Odivelas," 161,774"," 9,562"," 9,038"," 6,952"," 4,641"," 3,812"," 34,005"
R1 - AM Lisboa,Lisboa,Oeiras," 177,408"," 11,580"," 11,575"," 8,566"," 6,211"," 5,855"," 43,787"
R1 - AM Lisboa,Lisboa,Sintra," 391,402"," 20,490"," 18,316"," 13,545"," 9,137"," 7,284"," 68,772"
R1 - AM Lisboa,Lisboa,Vila Franca de Xira," 141,957"," 8,501"," 6,852"," 4,869"," 3,425"," 2,472"," 26,119"
R1 - AM Lisboa,Setúbal,Alcochete," 19,787", 857, 834, 691, 476, 447," 3,305"
R1 - AM Lisboa,Setúbal,Almada," 169,039"," 10,469"," 9,777"," 7,876"," 6,144"," 5,111"," 39,377"
R1 - AM Lisboa,Setúbal,Barreiro," 75,147"," 5,194"," 5,565"," 4,459"," 3,105"," 1,767"," 20,090"
R1 - AM Lisboa,Setúbal,Mafra," 84,816"," 3,613"," 3,334"," 2,839"," 2,089"," 1,899"," 13,774"
R1 - AM Lisboa,Setúbal,Montijo," 57,614"," 2,771"," 2,441"," 1,990"," 1,554"," 1,109"," 9,865"
R1 - AM Lisboa,Setúbal,Palmela," 64,269"," 3,402"," 3,244"," 2,635"," 1,846"," 1,391"," 12,518"
R1 - AM Lisboa,Setúbal,Seixal," 167,752"," 10,586"," 9,270"," 6,661"," 4,391"," 2,930"," 33,838"
R1 - AM Lisboa,Setúbal,Sesimbra," 51,858"," 2,400"," 2,321"," 1,853"," 1,257"," 1,083"," 8,914"
R1 - AM Lisboa,Setúbal,Setúbal," 115,126"," 7,425"," 6,929"," 5,075"," 3,775"," 2,655"," 25,859"
R2 - AM Porto,Aveiro,Santa Maria da Feira," 138,636"," 8,182"," 6,743"," 4,771"," 3,856"," 3,079"," 26,631"
R2 - AM Porto,Porto,Gondomar," 165,985"," 10,555"," 8,755"," 6,222"," 4,450"," 3,364"," 33,346"
R2 - AM Porto,Porto,Maia," 138,971"," 7,801"," 6,617"," 4,512"," 3,339"," 2,631"," 24,900"
R2 - AM Porto,Porto,Matosinhos," 175,357"," 11,850"," 9,977"," 7,023"," 5,024"," 3,884"," 37,758"
R2 - AM Porto,Porto,Porto," 216,606"," 15,790"," 15,193"," 11,280"," 9,409"," 10,044"," 61,716"
